"id","dpto","muni","URNGcia1999","URNGcia2003","URNGcia2007","URNGcia2011","URNGcia2015","FRG1999","FRG2003","FRG2007","FRG2015","UNE2003","UNE2007","UNE2015","PP2003","PP2007","PP2011","PP2015","censo1999","censo2003","censo2007","censo2011","censo2015","part1999","part2003","part2007","part2011","part2015","fulldcha1999","fulldcha2003","fulldcha2007","fulldcha2011","fulldcha2015","pop73","pop81","ind73","ind81","lit73","lit81","coop_all","coop_81","coop_81_96","coop_86_96","coop_post96","sh_prod_indig64","sh_superf_indig64","superf_by_prod64","share_arrenda64f","share_arrenda50","superf_by_prod50","superf_by_prod_change5064","change5064_share_arrenda","change5064_share_arrenda_abs","ig_evang_81","govt_ev","govt_vi","inclpac_ev","inclpac_vi","nopac_ev","nopac_vi","onlypac_ev","onlypac_vi","rebels_ev","rebels_vi","ceh_govt_ev","ceh_govt_vi","ceh_inclpac_ev","ceh_inclpac_vi","ceh_nopac_ev","ceh_nopac_vi","rebels_ev_pre78","rebels_vi_pre78","elev_sd","elev_mean","elev_max","forest","coffee_yield","roads_all","roads_paved","roads_paths","roads_paved_sh","area","dist_guate","dist_panam","govt_vi_l","inclpac_vi_l","nopac_vi_l","onlypac_vi_l","rebels_vi_l","rebels_vi_pre78_l","ceh_govt_vi_l","ceh_inclpac_vi_l","ceh_nopac_vi_l","lpop73","lpop81","larea","ldist_guate","lsuperf_by_prod_change5064","ldist_panam","compet1999","roads_dirt_sh"
"1-1","Alta Verapaz","Chahal",0.384117393180837,0.0883868410622275,0.043336439888164,0.215707452553618,0.041605936133563,0.339231765213638,0.192231470471661,0.0358807082945014,0.00371008347687823,0.141101862861673,0.28331780055918,0.499138730621439,0.349187475227903,0.152842497670084,0.129455330967443,0.0213329799920498,4424,0,0,9646,11409,0.52373417721519,NA,NA,0.67188471905453,0.661495310719607,0.339231765213638,0.541418945699564,0.188723205964585,0.129455330967443,0.0250430634689281,5539,6606,0.945,0.901,0.066,0.175,3,0,3,1,0,0.942215088282504,0.223393045310854,31.9887640449438,0,0,45.516295025729,0.702798064448381,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.533608772548,248.766398965709,808.628662109375,0.902198152277795,1744.5,142587.981443191,0,107883.166302749,0,288.108025793822,144.455779259647,143.275777563766,0,0,0,0,0,0,0,0,0,8.6195692580331,8.79573360595074,5.66333549936932,4.9798721178036,-0.352685676730498,4.97172659003852,0.99798528040199,1
"1-10","Alta Verapaz","San Juan Chamelco",0.121063548934565,0.0206105886899395,0.00519280700067314,0.00919142134008259,0.00663552394097038,0.618140675089572,0.187942805616385,0.192807000673142,0.00360972502388789,0.150843745974494,0.230022117511299,0.187015606752309,0.338013654515007,0.236176555438023,0.338950313041162,0.176664189404395,9910,12162,0,21619,24324,0.535116044399596,0.638299621772735,NA,0.694481705906841,0.774461437263608,0.618140675089572,0.525956460131393,0.428983556111165,0.338950313041162,0.180273914428283,17529,19256,0.965,0.973,0.126,0.318,3,0,3,2,0,0.974025974025974,0.910391875256463,8.43982683982684,0.0145454545454545,0.0784745141180785,6.95086175284195,1.21421301990017,0.1853525913339,-0.0639290595726239,4,2,40,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0,310.475019527439,1797.98215194816,2525.94165039062,0.947743467933492,1312.33333333333,191709.676049267,8241.16985057124,175829.132316632,0.0429877616007935,231.642256023679,81.1794612763796,84.9486461203514,1.18843251624836,0,1.18843251624836,0,0,0,0,0,0,9.77161193122255,9.86557797946291,5.44519418166295,4.40890540802345,0.194096146684356,4.45374997976008,0.75291433065348,0.957012238399206
"1-11","Alta Verapaz","San Pedro Carcha",0.124075384318518,0.025209199515815,0.0184515818100451,0.0177141713370697,0.0279936618124198,0.564095967067601,0.158781116783327,0.193810458191332,0.00324454840413491,0.136782274617125,0.24310647526593,0.411736965215423,0.426398610599442,0.213329202382182,0.215872698158527,0.0170904700822455,34653,0,0,79660,88029,0.448648024702046,NA,NA,0.627165453175998,0.602210635131604,0.564095967067601,0.585179727382769,0.407139660573514,0.215872698158527,0.0203350184863804,57487,53759,0.956,0.945,0.085,0.211,35,1,11,5,24,0.972968289724484,0.480950189911675,9.603274995668,0.0360306559171892,0.0336514929025942,14.9134850709741,0.643932316957807,1.07070007329189,0.00237916301459498,40,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,428.626842861866,1110.41752440086,2469.75732421875,0.876895750785626,1561.41176470588,837508.063414383,11294.2662328077,664924.195819097,0.0134855611858384,1342.26741039344,90.9311499150755,93.5072048417432,0.0341989659995038,0,0.0341989659995038,0,0,0,0,0,0,10.9593141142674,10.8922663738336,7.20211556026973,4.52103992639175,-0.440161656292557,4.54867607330501,0.806381886757157,0.986514438814162
"1-12","Alta Verapaz","Santa Cruz Verapaz",0.101409553641347,0.0128050253684465,0.016755000854847,0.0182408795602199,0.0033676905806715,0.600234925606891,0.149553032133366,0.222431184817918,0.0142871721604245,0.238705001208021,0.220550521456659,0.184100418410042,0.290649915438512,0.213882714994016,0.256746626686657,0.0344933156444535,4900,6503,0,11416,13051,0.521224489795918,0.636475472858681,NA,0.701121233356692,0.750823691671136,0.600234925606891,0.440202947571877,0.436313899811934,0.256746626686657,0.0487804878048781,5508,7183,0.9,0.842,0.219,0.32,1,0,0,0,1,0.903470715835141,0.376131125149394,12.704989154013,0.0906976744186047,0.209959623149394,13.8546433378197,0.917020297399618,0.431976744186047,-0.11926194873079,2,1,65,0,0,1,65,0,0,0,0,1,65,0,0,1,65,0,0,164.201444359482,1539.99772403299,2052.36962890625,0.91970802919708,NA,61383.4224872373,24497.5784846538,23757.1804821432,0.399091114376155,75.2927575978887,70.126817330565,72.4079033800939,2.5495245976913,0,2.5495245976913,0,0,0,2.5495245976913,0,2.5495245976913,8.61395685984855,8.8794724020748,4.32138394954127,4.26446444334067,-0.0866256724018069,4.296031605302,0.751173248283436,0.600908885623845
"1-13","Alta Verapaz","Fray Bartolome de las Casas",0.379060153547625,0.113715277777778,0.0467376645119286,0.0437289453226224,0.0690448035737748,0.335695604488315,0.13548344017094,0.245500627819374,0.00229930363946919,0.198317307692308,0.306654885364833,0.55446064906057,0.310162927350427,0.118681114263126,0.23921352682042,0.00440152410984102,24775,29286,0,49303,51054,0.478425832492432,0.511370620774432,NA,0.626168792974058,0.596309789634505,0.335695604488315,0.445646367521367,0.3641817420825,0.23921352682042,0.00670082774931021,36910,48408,0.891,0.897,0.115,0.207,18,2,13,8,5,0.956937799043062,0.359058435213133,13.7712320574163,0.00180072028811525,0.0194634402945818,39.4665965281431,0.348933864808844,0.0925180883164076,-0.0176627200064666,41,78,562,58,114,20,448,26,26,0,0,12,379,1,27,11,352,0,0,196.939111081018,322.749432444793,1425.46765136719,0.861954459203036,1755.89473684211,642607.614443696,0,452672.983814354,0,1741.61612633363,111.190853398099,115.814803598278,2.78662881936746,1.40820111558855,2.57548078966558,0.533222616540031,0,0,2.4219863736593,0.548993326620283,2.35486543734025,10.516237796024,10.7874203683022,7.46256876937083,4.72020146924957,-1.052872873852,4.76058980549884,0.998119515884883,1
"1-14","Alta Verapaz","Senahu",0.28902803472321,0.123472744360902,0.00809441423628275,0.0109312301093123,0.012376673713883,0.420236231677814,0.140272556390977,0.0719228868017795,0.00753171247357294,0.191964285714286,0.359923381117153,0.5619274136716,0.145676691729323,0.132352941176471,0.24159402241594,0.0795014094432699,13777,15374,0,33835,35731,0.510052986862162,0.553662026798491,NA,0.640786168169056,0.635414625955053,0.420236231677814,0.285949248120301,0.20427582797825,0.24159402241594,0.0870331219168428,25349,28610,0.967,0.969,0.09,0.189,19,0,13,8,6,0.97009459871834,0.409516202647193,8.02319194385108,0.00477815699658703,0.0473441108545035,43.3768283294842,0.18496492834626,0.100923999001082,-0.0425659538579164,20,18,71,8,8,10,63,7,7,0,0,4,55,0,0,4,55,0,0,492.473252823477,965.860027037125,2532.4794921875,0.91374936580416,1642.75,483413.731412526,0,382494.597890724,0,724.320373410587,91.2180964456628,96.0010953076856,1.33523773445197,0.274288505377223,1.24855559855517,0.24384382704069,0,0,1.15364036502801,0,1.15364036502801,10.1404945605095,10.2615115860442,6.58523379922014,4.52415638511749,-1.68758904838241,4.57472227027144,0.982784409051922,1
"1-15","Alta Verapaz","Tamahu",0.0756773590781688,0.00531632110579479,0.000572519083969466,0.00578895137280847,0.00140413581822824,0.585175957645593,0.323763955342903,0.246946564885496,0.00165943323972428,0.10154173312068,0.260496183206107,0.445876946642839,0.185539606592238,0.0879770992366412,0.20492887859742,0.0610160837375543,4561,5279,0,8325,9228,0.704012278009209,0.35631748437204,NA,0.726246246246246,0.848938014737755,0.585175957645593,0.509303561935141,0.334923664122137,0.20492887859742,0.0626755169772785,4991,6042,0.945,0.947,0.17,0.236,3,0,1,0,2,0.935251798561151,0.237693206909988,11.0776978417266,0.0109375,0.176352705410822,18.2805611222445,0.605982374810522,0.0620205965909091,-0.165415205410822,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.676004963497,1539.87581563104,2630.81396484375,0.967334035827186,1325,51408.5444994053,0,28066.4361262247,0,87.3356587098537,75.0143263782485,78.9062884535866,0,0,0,0,0,0,0,0,0,8.51539156946961,8.70649036194662,4.46975884118722,4.33092182749845,-0.50090437780687,4.38085455372512,0.74041117805783,1
"1-16","Alta Verapaz","Tactic",0.0839345839345839,0.0124740124740125,0.00546956825322937,0.0130418105101649,0.0164424514200299,0.649110149110149,0.276160776160776,0.0693587804026533,0.00660844937455747,0.182778932778933,0.297102292563715,0.202029738022186,0.273042273042273,0.278249738158967,0.494438051400077,0.00416961686728031,7928,9329,0,14644,16885,0.524470232088799,0.618715832350734,NA,0.712100518983884,0.752798341723423,0.649110149110149,0.549203049203049,0.34760851856162,0.494438051400077,0.0107780662418378,9369,11351,0.874,0.839,0.254,0.393,2,0,1,1,1,0.876865671641791,0.29897248922771,9.00597014925373,0.160696999031946,0.0653061224489796,15.8061224489796,0.569777323839164,2.46067279767667,0.0953908765829662,3,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.890089518173,1723.64048913755,2449.70092773438,0.953020134228188,1340,95840.4356750682,18431.9079955701,54751.2241425754,0.192318699990687,123.349879055346,67.4196282797125,70.4546927665066,0.277786975423821,0.277786975423821,0,0,0,0,0,0,0,9.14516164595119,9.33706112475534,4.81502486247506,4.22565974661615,-0.562509654412302,4.26906358124649,0.680576580528481,0.807681300009313
"1-17","Alta Verapaz","Tucuru",0.292400171747531,0.0103719599427754,NA,0.00546541417591802,0.00144072447859495,0.480463718334049,0.274499284692418,NA,0.00137211855104281,0.134298998569385,NA,0.436196487376509,0.289520743919886,NA,0.503842869342442,0.292604281009879,8360,9594,0,16645,18419,0.557177033492823,0.582864290181363,NA,0.703514568939621,0.791356751180846,0.480463718334049,0.564020028612303,NA,0.503842869342442,0.293976399560922,13005,12849,0.947,0.944,0.064,0.185,1,1,1,0,0,0.957955088389871,0.266317413613693,13.315336837076,0.00386473429951691,0.0258064516129032,19.7516129032258,0.674139215987841,0.14975845410628,-0.0219417173133863,4,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,501.547476430551,936.805273945983,2424.53515625,0.854775403401657,1790.5,181066.428902648,0,143330.793752669,0,210.815245892243,76.5241160201782,81.0660576158694,0.0740805098114571,0.0740805098114571,0,0.0740805098114571,0,0,0,0,0,9.47308917788275,9.46102126628348,5.35098213801895,4.35058906240848,-0.394318637487996,4.40752450363963,0.964632102445301,1
"1-2","Alta Verapaz","Chisec",0.308717466290373,0.0735217842323651,0.0194561650257853,0.0340319952599615,0.124393889678807,0.358889934148636,0.164808091286307,0.0607126113455227,0.0055780378431587,0.0962136929460581,0.456340834505391,0.432206788435597,0.395617219917012,0.170534458509142,0.20311805658421,0.0241350395566736,11882,17574,0,41324,47054,0.536778320148123,0.438830089905542,NA,0.653470138418353,0.582925999914991,0.358889934148636,0.56042531120332,0.231247069854665,0.20311805658421,0.0297130773998323,8728,17682,0.88,0.835,0.091,0.179,4,1,4,3,0,0.81063829787234,0.483247422680412,4.9531914893617,0.286637931034483,0.00704225352112676,123.503521126761,0.0401056702203485,40.7025862068965,0.279595677513356,28,28,329,11,31,17,298,1,1,0,0,8,271,0,0,8,271,0,0,132.625826410111,286.106252817575,861.719055175781,0.861051693404635,1750.84,492386.290112232,120844.190105786,145375.831434685,0.24542557851934,2056.61129376611,117.820967193116,108.256700424312,3.65570458925243,1.51551998023504,3.55942511284687,0.108472076693041,0,0,3.46728145392452,0,3.46728145392452,9.07429152751291,9.78030245196575,7.62881490425434,4.77761788288029,-3.21623755266223,4.69370016321001,0.997482723469012,0.75457442148066
