"day","month","year","canton","muni","department","MUNID","military","victims","notes","reference","X","X.1","id"
NA,2,1982,"Belen","Santa Maria Cahabon","Alta Verapaz",261,"Y",15,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-13"
NA,NA,1982,"Pinares","Santa Maria Cahabon","Alta Verapaz",261,"Y",104,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-13"
NA,8,1982,"Chiacte","Santa Maria Cahabon","Alta Verapaz",261,"Y",14,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-13"
NA,10,1983,"Chacach","Santa Maria Cahabon","Alta Verapaz",261,"Y",48,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-13"
NA,NA,1982,"Marichach","Santa Maria Cahabon","Alta Verapaz",261,"Y",5,"One family","Casos Presentados Anexo II Tomo VIII",NA,"","1-13"
NA,NA,1982,"Tzunjoc","Santa Maria Cahabon","Alta Verapaz",261,"Mil and Pac",27,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-13"
15,7,1982,"Marichaj","Santa Maria Cahabon","Alta Verapaz",261,"Y",26,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-13"
27,8,1982,"Seguamo","Santa Maria Cahabon","Alta Verapaz",261,"Y",106,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-13"
21,8,1982,"El Plan","Santa Maria Cahabon","Alta Verapaz",261,"Y",10,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-13"
2,6,1982,"Chajgual","Santa Maria Cahabon","Alta Verapaz",261,"Y",12,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-13"
NA,7,1982,"Chacah","Santa Maria Cahabon","Alta Verapaz",261,"Y",5,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-13"
22,6,1983,"Sechaj","Santa Maria Cahabon","Alta Verapaz",261,"Y",7,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-13"
20,9,1981,"Semuy","Chisec","Alta Verapaz",262,"Y",77,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-2"
NA,NA,1982,"","Chisec","Alta Verapaz",262,"Y",10,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-2"
20,8,1982,"Setzi","Chisec","Alta Verapaz",262,"Y",12,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-2"
NA,4,1981,"Ruines","Chisec","Alta Verapaz",262,"Y",47,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-2"
NA,6,1982,"San Antonio Cuevas","Chisec","Alta Verapaz",262,"Y",72,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-2"
NA,1,1982,"","Chisec","Alta Verapaz",262,"Y",7,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-2"
NA,8,1982,"","Chisec","Alta Verapaz",262,"Y",8,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-2"
10,2,1982,"El Zapote","Chisec","Alta Verapaz",262,"Y",38,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-2"
NA,12,1981,"San Jose Rio Negro","Coban","Alta Verapaz",250,"Y",12,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-3"
25,3,1981,"Xalabe","Coban","Alta Verapaz",250,"Y",18,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-3"
20,10,1982,"San Jose Rio Negro","Coban","Alta Verapaz",250,"Y",152,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-3"
NA,5,1982,"Sacaal","Coban","Alta Verapaz",250,"Y",102,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-3"
15,1,1981,"Chiquej","Coban","Alta Verapaz",250,"Y",10,"One family","Casos Presentados Anexo II Tomo VIII",NA,"","1-3"
NA,NA,1981,"Niblajacoc","Coban","Alta Verapaz",250,"Y",7,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-3"
NA,1,1981,"Chama","Coban","Alta Verapaz",250,"Y",27,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-3"
NA,NA,1981,"Setolox","Coban","Alta Verapaz",250,"Y",5,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-3"
16,1,1981,"Salquil","Coban","Alta Verapaz",250,"Y",177,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-3"
NA,6,1982,"Sanimataqa","Coban","Alta Verapaz",250,"Y",34,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-3"
14,3,1983,"Santa Rita","Coban","Alta Verapaz",250,"Mil and Pac",30,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-3"
15,9,1981,"Tompec","Coban","Alta Verapaz",250,"Y",55,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-3"
NA,3,1983,"Pombac","Panzos","Alta Verapaz",256,"Y",6,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-7"
18,8,1982,"Concepcion","Panzos","Alta Verapaz",256,"Y",5,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-7"
14,3,1982,"Las Pacayas","San Cristobal Verapaz","Alta Verapaz",252,"Y",5,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-9"
NA,NA,NA,"Las Pacayas","San Cristobal Verapaz","Alta Verapaz",252,"Y",25,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-9"
NA,NA,1982,"Najtilaguaj","San Cristobal Verapaz","Alta Verapaz",252,"Y",17,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-9"
NA,3,1982,"Najtilaguaj","San Cristobal Verapaz","Alta Verapaz",252,"Y",6,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-9"
20,1,1982,"","San Cristobal Verapaz","Alta Verapaz",252,"Y",19,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-9"
NA,2,1982,"Najtilaguaj","San Cristobal Verapaz","Alta Verapaz",252,"Y",7,"","Casos Presentados Anexo II Tomo VIII",NA,"","1-9"
