"n_mon","n_year","n_rgim","n_type","p_civ","p_arm","p_pac","p_pol","p_par","p_urn","c_tot","id"
3,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"7-9"
3,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"6-8"
4,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"7-17"
4,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"7-17"
5,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"22-11"
5,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,3,"4-6"
5,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"16-4"
6,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"22-2"
6,1965,"Enrique Peralta Azurdia","killed",0,0,0,0,0,0,1,"22-2"
6,1965,"Enrique Peralta Azurdia","injured",0,0,0,0,0,0,2,"22-2"
7,1968,"Julio Cesar Mendez Montenegro","kidnap",0,0,0,0,0,0,1,"7-4"
12,1981,"Fernando Romeo Lucas Garcia","killed",0,0,1,0,0,0,1,"2-7"
12,1981,"Fernando Romeo Lucas Garcia","killed",0,0,1,0,0,0,1,"2-7"
6,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"7-2"
6,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"7-4"
6,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"11-10"
6,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"20-18"
6,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"7-2"
6,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"6-6"
6,1968,"Julio Cesar Mendez Montenegro","injured",0,0,0,0,0,0,1,"7-4"
10,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"7-1"
11,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"7-4"
5,1968,"Julio Cesar Mendez Montenegro","kidnap",0,0,0,0,0,0,1,"5-7"
11,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"7-5"
12,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"6-11"
12,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"7-15"
12,1968,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"13-5"
2,1981,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,1,"8-15"
3,1984,"Oscar Humberto Mejia Victores","killed",0,1,1,0,0,0,1,"14-10"
3,1984,"Oscar Humberto Mejia Victores","killed",0,1,1,0,0,0,1,"14-10"
9,1982,"Efrain Rios Montt Schaad","killed",0,1,0,0,0,0,2,"8-1"
6,1982,"Efrain Rios Montt Schaad","killed",0,1,0,0,0,0,2,"1-14"
6,1982,"Efrain Rios Montt Schaad","killed",0,1,0,0,0,0,2,"9-1"
6,1982,"Efrain Rios Montt Schaad","killed",0,1,0,0,0,0,2,"9-1"
6,1982,"Efrain Rios Montt Schaad","killed",0,1,0,0,0,0,2,"9-1"
6,1983,"Efrain Rios Montt Schaad","killed",0,1,0,0,0,0,2,"1-14"
7,1982,"Efrain Rios Montt Schaad","kidnap",0,1,1,0,0,0,2,"14-5"
7,1982,"Efrain Rios Montt Schaad","kidnap",0,1,1,0,0,0,1,"14-19"
8,1983,"Oscar Humberto Mejia Victores","killed",0,1,1,0,0,0,10,"14-10"
8,1983,"Oscar Humberto Mejia Victores","killed",0,1,1,0,0,0,11,"14-10"
